Model;HP LaserJet Pro M521dnw
Status;Актуальный
Caption;Общие характеристики
Тип устройства;МФУ
Технология печати;лазерная
Копир;+
Сканер;+
Факс;+
Цветность печати;черно-белая
Макс. формат;A4
Caption;Принтер
Двусторонняя печать;+
SubCaption;Макс. разрешение для ч/б печати
По X;1 200
По Y;1 200
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;40 стр/мин
EndSubCaption;Скорость ч/б печати
SubCaption;Время выхода первого отпечатка
Ч/б;8 с
EndSubCaption;Время выхода первого отпечатка
Прямая печать;+
Caption;Копир
Макс. количество копий за цикл;99
SubCaption;Макс. разрешение (ч/б)
По X;300 dpi
По Y;300 dpi
EndSubCaption;Макс. разрешение (ч/б)
SubCaption;Скорость ч/б копирования
A4;40 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
SubCaption;Макс. размер сканирования
По X;1 200 мм
По Y;1 200 мм
EndSubCaption;Макс. размер сканирования
SubCaption;Скорость сканирования
Ч/б;19
Цветн.;14
EndSubCaption;Скорость сканирования
Caption;Расходные материалы
Ресурс ч/б картриджа/тонера;6 000 стр
Caption;Факс
Память;250 стр
SubCaption;Макс. разрешение
По X;300 dpi
По Y;300 dpi
EndSubCaption;Макс. разрешение
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;100 листов
Максимальная;500 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
EndSubCaption;Вывод бумаги
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);+
Wi-Fi;+
Wi-Fi 802.11n;+
Caption;Память/Процессор
Объем памяти;256 Мб
Частота процессора;800 МГц
Caption;Дополнительная информация
Экран;цветной ЖК-дисплей
Диагональ дисплея;8.98``
SubCaption;Поддержка ОС
Windows;+
Linux;+
Mac OS;+
EndSubCaption;Поддержка ОС
SubCaption;Уровень шума
При работе;54 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;465 мм
Высота;508 мм
Глубина;465 мм
Вес;22.4 кг
Caption;Фото
main_image;hp_image/HPLaserJetProM521dnw_1580682729711.jpg
image;hp_image/HPLaserJetProM521dnw_1580682729819.jpg
image;hp_image/HPLaserJetProM521dnw_1580682729915.jpg
image;hp_image/HPLaserJetProM521dnw_1580682730012.jpg
image;hp_image/HPLaserJetProM521dnw_1580682730108.jpg
image;hp_image/HPLaserJetProM521dnw_1580682730205.jpg
image;hp_image/HPLaserJetProM521dnw_1580682730300.jpg
