Model;HP LaserJet Enterprise MFP M527dn
Status;Актуальный
Caption;Общие характеристики
Тип устройства;МФУ
Технология печати;лазерная
Копир;+
Сканер;+
Цветность печати;черно-белая
Макс. формат;A4
Число страниц в месяц;150 000
Caption;Принтер
Двусторонняя печать;+
SubCaption;Макс. разрешение для ч/б печати
По X;1 200
По Y;1 200
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;43 стр/мин
EndSubCaption;Скорость ч/б печати
SubCaption;Время выхода первого отпечатка
Ч/б;5.7 с
EndSubCaption;Время выхода первого отпечатка
Прямая печать;+
Caption;Копир
Макс. количество копий за цикл;9 999
SubCaption;Макс. разрешение (ч/б)
По X;600 dpi
По Y;600 dpi
EndSubCaption;Макс. разрешение (ч/б)
SubCaption;Скорость ч/б копирования
A4;43 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
SubCaption;Разрешение сканера
По Х;600 dpi
По Y;600 dpi
EndSubCaption;Разрешение сканера
SubCaption;Скорость сканирования
Ч/б;43
Цветн.;38
EndSubCaption;Скорость сканирования
Устройство автоподачи оригиналов;двустороннее
Емкость устройства автоподачи оригиналов;100 листов
Caption;Расходные материалы
Ресурс ч/б картриджа/тонера;9 000 стр
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;650 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;250 листов
EndSubCaption;Вывод бумаги
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);+
Caption;Память/Процессор
Частота процессора;1 200 МГц
Caption;Дополнительная информация
Экран;ЖК-панель
SubCaption;Поддержка ОС
Windows;+
Linux;+
Mac OS;+
EndSubCaption;Поддержка ОС
SubCaption;Уровень шума
При работе;54 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;482 мм
Высота;497 мм
Глубина;496 мм
Вес;21.9 кг
Caption;Фото
main_image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160162.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160318.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160433.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160543.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160655.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160750.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160862.jpg
image;hp_image/HPLaserJetEnterpriseMFPM527dn_1580683160975.jpg
