Model;HP Sprocket Photo Printer
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Технология печати;термопечать
Печать фотографий;+
Копир;-
Сканер;-
Факс;-
Телефон;-
Область применения;персональный
Размещение;портативный
Цветность печати;цветная
Макс. формат;меньше A6
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;-
Система непрерывной подачи чернил;-
SubCaption;Макс. разрешение для ч/б печати
По X;313
По Y;400
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Макс. разрешение для цветной печати
По X;313
По Y;400
EndSubCaption;Макс. разрешение для цветной печати
Печать без полей;+
Прямая печать;-
Макс. длина отпечатка;76 мм
Макс. ширина отпечатка;50 мм
Caption;Сканер
Слайд-адаптер;-
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Расходные материалы
SubCaption;Печать на:
Карточках;-
Пленках;-
Этикетках;-
CD/DVD;-
Глянцевой бумаге;-
Конвертах;-
Матовой бумаге;-
Рулоне;-
EndSubCaption;Печать на:
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;10 листов
EndSubCaption;Подача бумаги
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;-
Bluetooth;+
LPT;-
Поддержка Android;+
Поддержка iOS;+
Инфракрасный порт;-
RS-232;-
Устройство для чтения карт памяти;-
Caption;Память/Процессор
Объем памяти;512 Мб
Макс. объем памяти;512 Мб
Caption;Дополнительная информация
Работа от аккумулятора;+
SubCaption;Поддержка ОС
Windows;-
Linux;-
Mac OS;-
DOS;-
EndSubCaption;Поддержка ОС
SubCaption;Потребляемая мощность
При работе;34.49 Вт
В режиме ожидания;0.9 Вт
EndSubCaption;Потребляемая мощность
Caption;Габариты
Ширина;75 мм
Высота;23 мм
Глубина;116 мм
Вес;0.17 кг
Caption;Фото
main_image;hp_image/HPSprocketPhotoPrinter_1580684343738.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684343846.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684343946.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344043.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344136.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344231.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344328.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344427.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344522.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344618.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344714.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344809.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684344926.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684345022.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684345119.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684345214.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684345312.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684345408.jpg
image;hp_image/HPSprocketPhotoPrinter_1580684345506.jpg
