Model;Xerox WorkCentre Pro 320
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;МФУ
Тип;лазерный/светодиодный
Технология печати;лазерная
Печать фотографий;-
Копир;+
Сканер;+
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A3
Caption;Принтер
Двусторонняя печать;-
SubCaption;Макс. разрешение для ч/б печати
По X;600
По Y;1 800
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;20 стр/мин
EndSubCaption;Скорость ч/б печати
Время разогрева;45 с
Caption;Копир
Время выхода первой копии;7 с
Макс. количество копий за цикл;100
Шаг масштабирования;1 %
SubCaption;Значение масштаба
Минимальное;50 %
Максимальное;200 %
EndSubCaption;Значение масштаба
SubCaption;Скорость ч/б копирования
A4;20 стр/мин
A3;12 стр/мин
EndSubCaption;Скорость ч/б копирования
Caption;Сканер
Макс. формат оригинала;A3
Оттенки серого;256
Устройство автоподачи оригиналов;одностороннее
Caption;Расходные материалы
SubCaption;Плотность бумаги
Минимальная;60 г/м2
Максимальная;140 г/м2
EndSubCaption;Плотность бумаги
SubCaption;Печать на:
Карточках;+
Пленках;+
Этикетках;+
EndSubCaption;Печать на:
Ресурс фотобарабана;27 000 стр
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;550 листов
EndSubCaption;Подача бумаги
Caption;Финишер
Сортер;-
Сортировка со сдвигом;-
Caption;Интерфейсы
Ethernet (RJ-45);+
Caption;Память/Процессор
Объем памяти;16 Мб
Caption;Дополнительная информация
SubCaption;Потребляемая мощность
При работе;1 400 Вт
EndSubCaption;Потребляемая мощность
Caption;Габариты
Ширина;621 мм
Высота;394 мм
Глубина;561 мм
Вес;32 кг
Caption;Фото
main_image;xerox_image/XeroxWorkCentrePro320_1580647859964.jpg
image;xerox_image/XeroxWorkCentrePro320_1580647860538.jpg
