Model;OKI ML5720eco
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Телефон;-
Размещение;настольный
Цветность печати;цветная
Макс. формат;A4
Caption;Сканер
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);+
Wi-Fi;-
Wi-Fi 802.11n;-
Bluetooth;-
LPT;-
AirPrint;-
Инфракрасный порт;-
Caption;Дополнительная информация
Работа от аккумулятора;-
Caption;Габариты
Ширина;438 мм
Высота;191 мм
Глубина;375 мм
Вес;7.5 кг
Caption;Фото
main_image;oki_image/OKIML5720eco_1580756506187.jpg
image;oki_image/OKIML5720eco_1580756508249.jpg
