Model;Canon Zoemini
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Технология печати;термопечать
Печать фотографий;+
Копир;-
Сканер;-
Факс;-
Телефон;-
Область применения;персональный
Размещение;портативный
Цветность печати;цветная
Макс. формат;меньше A6
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;-
SubCaption;Макс. разрешение для ч/б печати
По X;314
По Y;400
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Макс. разрешение для цветной печати
По X;314
По Y;400
EndSubCaption;Макс. разрешение для цветной печати
Печать без полей;+
Прямая печать;-
Макс. длина отпечатка;75 мм
Макс. ширина отпечатка;50 мм
Caption;Сканер
Слайд-адаптер;-
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Расходные материалы
SubCaption;Печать на:
Карточках;-
Пленках;-
Этикетках;-
Фотобумаге;+
CD/DVD;-
Конвертах;-
Рулоне;-
EndSubCaption;Печать на:
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;10 листов
EndSubCaption;Подача бумаги
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;-
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;-
Bluetooth;+
LPT;-
Поддержка Android;+
Поддержка iOS;+
Инфракрасный порт;-
RS-232;-
Веб-интерфейс;-
Устройство для чтения карт памяти;-
Caption;Дополнительная информация
Работа от аккумулятора;+
SubCaption;Поддержка ОС
Windows;-
Linux;-
Mac OS;-
DOS;-
EndSubCaption;Поддержка ОС
Caption;Габариты
Ширина;82 мм
Высота;19 мм
Глубина;118 мм
Вес;0.16 кг
Caption;Фото
main_image;canon_image/CanonZoemini_1580656390594.jpg
image;canon_image/CanonZoemini_1580656390724.jpg
image;canon_image/CanonZoemini_1580656390846.jpg
image;canon_image/CanonZoemini_1580656390970.jpg
image;canon_image/CanonZoemini_1580656391093.jpg
image;canon_image/CanonZoemini_1580656391254.jpg
image;canon_image/CanonZoemini_1580656391367.jpg
image;canon_image/CanonZoemini_1580656391480.jpg
image;canon_image/CanonZoemini_1580656391611.jpg
image;canon_image/CanonZoemini_1580656391745.jpg
image;canon_image/CanonZoemini_1580656391859.jpg
image;canon_image/CanonZoemini_1580656391975.jpg
image;canon_image/CanonZoemini_1580656392093.jpg
