Model;Epson LQ-50
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;275 мм
Высота;240 мм
Глубина;153 мм
Вес;3.3 кг
Caption;Фото
main_image;epson_image/EpsonLQ-50_1580643202876.jpg
image;epson_image/EpsonLQ-50_1580643203004.jpg
image;epson_image/EpsonLQ-50_1580643203112.jpg
