Model;Epson LQ-630
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;386 мм
Высота;185 мм
Глубина;306 мм
Вес;3.5 кг
Caption;Фото
main_image;epson_image/EpsonLQ-630_1580643219461.jpg
image;epson_image/EpsonLQ-630_1580643219577.jpg
image;epson_image/EpsonLQ-630_1580643219683.jpg
