Model;Epson LQ-690
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;480 мм
Высота;370 мм
Глубина;210 мм
Вес;6.8 кг
Caption;Фото
main_image;epson_image/EpsonLQ-690_1580643519156.jpg
image;epson_image/EpsonLQ-690_1580643519277.jpg
image;epson_image/EpsonLQ-690_1580643519403.jpg
image;epson_image/EpsonLQ-690_1580643519510.jpg
