Model;Epson LQ-2190
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A3
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;639 мм
Высота;402 мм
Глубина;268 мм
Вес;13 кг
Caption;Фото
main_image;epson_image/EpsonLQ-2190_1580648741730.jpg
image;epson_image/EpsonLQ-2190_1580648741862.jpg
image;epson_image/EpsonLQ-2190_1580648741995.jpg
