Model;Epson FX-890II
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Область применения;большой офис
Размещение;настольный
Цветность печати;черно-белая
Макс. формат;A4
Caption;Принтер
Количество цветов;1
Caption;Интерфейсы
USB;+
Wi-Fi;-
LPT;+
Caption;Дополнительная информация
SubCaption;Поддержка ОС
Windows;+
DOS;+
EndSubCaption;Поддержка ОС
Caption;Габариты
Ширина;414 мм
Высота;177 мм
Глубина;320 мм
Вес;7.2 кг
Caption;Фото
main_image;epson_image/EpsonFX-890II_1580642935271.jpg
image;epson_image/EpsonFX-890II_1580642935416.jpg
image;epson_image/EpsonFX-890II_1580642935601.jpg
image;epson_image/EpsonFX-890II_1580642935724.jpg
