Model;Epson LX-300+II
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Цветность печати;цветная
Макс. формат;A4
Caption;Интерфейсы
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;366 мм
Высота;275 мм
Глубина;159 мм
Вес;4.4 кг
Caption;Фото
main_image;epson_image/EpsonLX-300+II_1580643780659.jpg
image;epson_image/EpsonLX-300+II_1580643780778.jpg
image;epson_image/EpsonLX-300+II_1580643780907.jpg
image;epson_image/EpsonLX-300+II_1580643781006.jpg
