Model;Epson LX-1350
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Макс. формат;A3
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;537 мм
Высота;199 мм
Глубина;355 мм
Вес;6 кг
Caption;Фото
main_image;epson_image/EpsonLX-1350_1580643185834.jpg
image;epson_image/EpsonLX-1350_1580643185948.jpg
image;epson_image/EpsonLX-1350_1580643186053.jpg
