Model;Epson LX-350
Status;Актуальный
Caption;Общая информация
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;настольный
Макс. формат;A4
Caption;Интерфейсы
USB;+
Ethernet (RJ-45);-
Wi-Fi;-
LPT;+
Caption;Габариты
Ширина;348 мм
Высота;154 мм
Глубина;275 мм
Вес;4.1 кг
Caption;Фото
main_image;epson_image/EpsonLX-350_1580642886091.jpg
image;epson_image/EpsonLX-350_1580642886236.jpg
image;epson_image/EpsonLX-350_1580642886359.jpg
image;epson_image/EpsonLX-350_1580642886492.jpg
image;epson_image/EpsonLX-350_1580642886626.jpg
